l3_index_code,股票代码,股票简称,纳入时间,申万3级
851151.SI,605365.SH,立达信,2021-12-13,照明设备Ⅲ
851151.SI,301362.SZ,民爆光电,2023-08-04,照明设备Ⅲ
851151.SI,001326.SZ,联域股份,2023-11-09,照明设备Ⅲ
851151.SI,002638.SZ,勤上股份,2024-07-31,照明设备Ⅲ
851151.SI,002724.SZ,海洋王,2024-07-31,照明设备Ⅲ
851151.SI,000541.SZ,佛山照明,2021-12-13,照明设备Ⅲ
851161.SI,002011.SZ,盾安环境,2021-12-13,家电零部件Ⅲ
851161.SI,002050.SZ,三花智控,2021-12-13,家电零部件Ⅲ
851161.SI,002290.SZ,禾盛新材,2021-12-13,家电零部件Ⅲ
851161.SI,002418.SZ,康盛股份,2021-12-13,家电零部件Ⅲ
851161.SI,002676.SZ,顺威股份,2021-12-13,家电零部件Ⅲ
851161.SI,002860.SZ,星帅尔,2021-12-13,家电零部件Ⅲ
851161.SI,300160.SZ,秀强股份,2021-12-13,家电零部件Ⅲ
851161.SI,300217.SZ,东方电热,2021-12-13,家电零部件Ⅲ
851161.SI,300342.SZ,天银机电,2021-12-13,家电零部件Ⅲ
851161.SI,300403.SZ,汉宇集团,2021-12-13,家电零部件Ⅲ
851161.SI,301008.SZ,宏昌科技,2021-12-13,家电零部件Ⅲ
851161.SI,600619.SH,海立股份,2021-12-13,家电零部件Ⅲ
851161.SI,601956.SH,东贝集团,2021-12-13,家电零部件Ⅲ
851161.SI,603112.SH,华翔股份,2021-12-13,家电零部件Ⅲ
851161.SI,603311.SH,金海高科,2021-12-13,家电零部件Ⅲ
851161.SI,603519.SH,立霸股份,2021-12-13,家电零部件Ⅲ
851161.SI,603578.SH,三星新材,2021-12-13,家电零部件Ⅲ
851161.SI,603657.SH,春光科技,2021-12-13,家电零部件Ⅲ
851161.SI,603677.SH,奇精机械,2021-12-13,家电零部件Ⅲ
851161.SI,603726.SH,朗迪集团,2021-12-13,家电零部件Ⅲ
851161.SI,001268.SZ,联合精密,2022-06-30,家电零部件Ⅲ
851161.SI,301252.SZ,同星科技,2023-05-25,家电零部件Ⅲ
851161.SI,603075.SH,热威股份,2023-09-11,家电零部件Ⅲ
851161.SI,003028.SZ,振邦智能,2024-07-31,家电零部件Ⅲ
851161.SI,300279.SZ,和晶科技,2024-07-31,家电零部件Ⅲ
851161.SI,300543.SZ,朗科智能,2024-07-31,家电零部件Ⅲ
851161.SI,301135.SZ,瑞德智能,2024-07-31,家电零部件Ⅲ
851161.SI,301280.SZ,珠城科技,2024-07-31,家电零部件Ⅲ
851161.SI,000404.SZ,长虹华意,2021-12-13,家电零部件Ⅲ
851171.SI,300247.SZ,融捷健康,2021-12-13,其他家电Ⅲ
851171.SI,603579.SH,荣泰健康,2021-12-13,其他家电Ⅲ
851171.SI,002614.SZ,奥佳华,2021-12-13,其他家电Ⅲ
851241.SI,002330.SZ,得利斯,2021-12-13,肉制品
851241.SI,002515.SZ,金字火腿,2021-12-13,肉制品
851241.SI,002726.SZ,ST龙大,2021-12-13,肉制品
851241.SI,002840.SZ,华统股份,2021-12-13,肉制品
851241.SI,600073.SH,光明肉业,2021-12-13,肉制品
851241.SI,000529.SZ,广弘控股,2023-05-18,肉制品
851241.SI,000895.SZ,双汇发展,2021-12-13,肉制品
851246.SI,002216.SZ,三全食品,2021-12-13,预加工食品
851246.SI,002702.SZ,海欣食品,2021-12-13,预加工食品
851246.SI,603345.SH,安井食品,2021-12-13,预加工食品
851246.SI,603536.SH,惠发食品,2021-12-13,预加工食品
851246.SI,605089.SH,味知香,2021-12-13,预加工食品
851246.SI,605338.SH,巴比食品,2021-12-13,预加工食品
851246.SI,605567.SH,春雪食品,2021-12-13,预加工食品
851246.SI,603237.SH,五芳斋,2022-08-31,预加工食品
851246.SI,002661.SZ,克明食品,2023-04-04,预加工食品
851246.SI,001215.SZ,千味央厨,2021-12-13,预加工食品
851247.SI,300146.SZ,汤臣倍健,2021-12-13,保健品
851247.SI,300791.SZ,仙乐健康,2021-12-13,保健品
851247.SI,600381.SH,*ST春天,2021-12-13,保健品
851247.SI,600530.SH,ST交昂,2021-12-13,保健品
851247.SI,603102.SH,百合股份,2022-01-25,保健品
851247.SI,000639.SZ,ST西王,2024-07-31,保健品
851247.SI,603262.SH,技源集团,2025-07-23,保健品
851247.SI,002626.SZ,金达威,2021-12-13,保健品
851251.SI,000596.SZ,古井贡酒,2021-12-13,白酒Ⅲ
851251.SI,000799.SZ,酒鬼酒,2021-12-13,白酒Ⅲ
851251.SI,000858.SZ,五粮液,2021-12-13,白酒Ⅲ
851251.SI,000860.SZ,顺鑫农业,2021-12-13,白酒Ⅲ
851251.SI,000995.SZ,皇台酒业,2021-12-13,白酒Ⅲ
851251.SI,002304.SZ,洋河股份,2021-12-13,白酒Ⅲ
851251.SI,002646.SZ,天佑德酒,2021-12-13,白酒Ⅲ
851251.SI,600197.SH,伊力特,2021-12-13,白酒Ⅲ
851251.SI,600199.SH,金种子酒,2021-12-13,白酒Ⅲ
851251.SI,600519.SH,贵州茅台,2021-12-13,白酒Ⅲ
851251.SI,600559.SH,老白干酒,2021-12-13,白酒Ⅲ
851251.SI,600702.SH,舍得酒业,2021-12-13,白酒Ⅲ
851251.SI,600779.SH,水井坊,2021-12-13,白酒Ⅲ
851251.SI,600809.SH,山西汾酒,2021-12-13,白酒Ⅲ
851251.SI,603198.SH,迎驾贡酒,2021-12-13,白酒Ⅲ
851251.SI,603369.SH,今世缘,2021-12-13,白酒Ⅲ
851251.SI,603589.SH,口子窖,2021-12-13,白酒Ⅲ
851251.SI,603919.SH,金徽酒,2021-12-13,白酒Ⅲ
851251.SI,000568.SZ,泸州老窖,2021-12-13,白酒Ⅲ
851232.SI,000752.SZ,*ST西发,2021-12-13,啤酒
851232.SI,000929.SZ,兰州黄河,2021-12-13,啤酒
851232.SI,002461.SZ,珠江啤酒,2021-12-13,啤酒
851232.SI,600132.SH,重庆啤酒,2021-12-13,啤酒
851232.SI,600573.SH,惠泉啤酒,2021-12-13,啤酒
851232.SI,600600.SH,青岛啤酒,2021-12-13,啤酒
851232.SI,000729.SZ,燕京啤酒,2021-12-13,啤酒
851233.SI,002568.SZ,百润股份,2021-12-13,其他酒类
851233.SI,600059.SH,古越龙山,2021-12-13,其他酒类
851233.SI,600084.SH,*ST尼雅,2021-12-13,其他酒类
851233.SI,600238.SH,ST椰岛,2021-12-13,其他酒类
851233.SI,600543.SH,*ST莫高,2021-12-13,其他酒类
851233.SI,600616.SH,金枫酒业,2021-12-13,其他酒类
851233.SI,601579.SH,会稽山,2021-12-13,其他酒类
851233.SI,603779.SH,威龙股份,2021-12-13,其他酒类
