l3_index_code,l3_industry_code,l3_name,l2_code,l2_name,l1_code,l1_name,股票代码,ts_code,股票简称,纳入时间,申万3级
850172.SI,110702,生猪养殖,110700,养殖业,110000,农林牧渔,603477.SH,603477.SH,巨星农牧,2022-01-21,生猪养殖
850172.SI,110702,生猪养殖,110700,养殖业,110000,农林牧渔,300498.SZ,300498.SZ,温氏股份,2015-11-02,生猪养殖
850172.SI,110702,生猪养殖,110700,养殖业,110000,农林牧渔,605296.SH,605296.SH,神农集团,2021-04-26,生猪养殖
850172.SI,110702,生猪养殖,110700,养殖业,110000,农林牧渔,001201.SZ,001201.SZ,东瑞股份,2021-04-15,生猪养殖
850172.SI,110702,生猪养殖,110700,养殖业,110000,农林牧渔,002124.SZ,002124.SZ,天邦食品,2007-04-02,生猪养殖
850173.SI,110703,肉鸡养殖,110700,养殖业,110000,农林牧渔,002299.SZ,002299.SZ,圣农发展,2009-09-22,肉鸡养殖
850173.SI,110703,肉鸡养殖,110700,养殖业,110000,农林牧渔,002982.SZ,002982.SZ,湘佳股份,2020-04-08,肉鸡养殖
850173.SI,110703,肉鸡养殖,110700,养殖业,110000,农林牧渔,300967.SZ,300967.SZ,晓鸣股份,2021-03-29,肉鸡养殖
850173.SI,110703,肉鸡养殖,110700,养殖业,110000,农林牧渔,002458.SZ,002458.SZ,益生股份,2010-07-29,肉鸡养殖
850173.SI,110703,肉鸡养殖,110700,养殖业,110000,农林牧渔,300761.SZ,300761.SZ,立华股份,2019-02-18,肉鸡养殖
850173.SI,110703,肉鸡养殖,110700,养殖业,110000,农林牧渔,301116.SZ,301116.SZ,益客食品,2021-12-31,肉鸡养殖
850173.SI,110703,肉鸡养殖,110700,养殖业,110000,农林牧渔,002234.SZ,002234.SZ,民和股份,2008-04-24,肉鸡养殖
850173.SI,110703,肉鸡养殖,110700,养殖业,110000,农林牧渔,002746.SZ,002746.SZ,仙坛股份,2015-01-15,肉鸡养殖
850174.SI,110704,其他养殖,110700,养殖业,110000,农林牧渔,300313.SZ,300313.SZ,天山生物,2012-01-17,其他养殖
850174.SI,110704,其他养殖,110700,养殖业,110000,农林牧渔,002321.SZ,002321.SZ,华英农业,2009-11-30,其他养殖
850174.SI,110704,其他养殖,110700,养殖业,110000,农林牧渔,600965.SH,600965.SH,*ST福成,2004-07-12,其他养殖
850181.SI,110801,动物保健Ⅲ,110800,动物保健Ⅱ,110000,农林牧渔,002868.SZ,002868.SZ,绿康生化,2021-12-13,动物保健Ⅲ
850181.SI,110801,动物保健Ⅲ,110800,动物保健Ⅱ,110000,农林牧渔,300119.SZ,300119.SZ,瑞普生物,2021-12-13,动物保健Ⅲ
850181.SI,110801,动物保健Ⅲ,110800,动物保健Ⅱ,110000,农林牧渔,300871.SZ,300871.SZ,回盛生物,2021-12-13,动物保健Ⅲ
850181.SI,110801,动物保健Ⅲ,110800,动物保健Ⅱ,110000,农林牧渔,600195.SH,600195.SH,中牧股份,2021-12-13,动物保健Ⅲ
850181.SI,110801,动物保健Ⅲ,110800,动物保健Ⅱ,110000,农林牧渔,600201.SH,600201.SH,生物股份,2021-12-13,动物保健Ⅲ
850181.SI,110801,动物保健Ⅲ,110800,动物保健Ⅱ,110000,农林牧渔,603566.SH,603566.SH,普莱柯,2021-12-13,动物保健Ⅲ
850181.SI,110801,动物保健Ⅲ,110800,动物保健Ⅱ,110000,农林牧渔,688098.SH,688098.SH,申联生物,2021-12-13,动物保健Ⅲ
850181.SI,110801,动物保健Ⅲ,110800,动物保健Ⅱ,110000,农林牧渔,688526.SH,688526.SH,科前生物,2021-12-13,动物保健Ⅲ
850181.SI,110801,动物保健Ⅲ,110800,动物保健Ⅱ,110000,农林牧渔,002688.SZ,002688.SZ,金河生物,2021-12-13,动物保健Ⅲ
850191.SI,110901,农业综合Ⅲ,110900,农业综合Ⅱ,110000,农林牧渔,300021.SZ,300021.SZ,大禹节水,2021-12-13,农业综合Ⅲ
850191.SI,110901,农业综合Ⅲ,110900,农业综合Ⅱ,110000,农林牧渔,002556.SZ,002556.SZ,辉隆股份,2021-12-13,农业综合Ⅲ
850321.SI,220201,纯碱,220200,化学原料,220000,基础化工,000707.SZ,000707.SZ,双环科技,2021-12-13,纯碱
850321.SI,220201,纯碱,220200,化学原料,220000,基础化工,000822.SZ,000822.SZ,山东海化,2021-12-13,纯碱
850321.SI,220201,纯碱,220200,化学原料,220000,基础化工,600409.SH,600409.SH,三友化工,2022-08-01,纯碱
850321.SI,220201,纯碱,220200,化学原料,220000,基础化工,601065.SH,601065.SH,江盐集团,2023-04-10,纯碱
850321.SI,220201,纯碱,220200,化学原料,220000,基础化工,000683.SZ,000683.SZ,博源化工,2021-12-13,纯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,600935.SH,600935.SH,华塑股份,2021-11-12,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,000510.SZ,000510.SZ,新金路,1993-05-07,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,601678.SH,601678.SH,滨化股份,2019-07-24,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,000635.SZ,000635.SZ,英力特,2007-07-02,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,603213.SH,603213.SH,镇洋发展,2021-10-29,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,002386.SZ,002386.SZ,天原股份,2010-01-22,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,600075.SH,600075.SH,新疆天业,2008-01-02,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,000818.SZ,000818.SZ,航锦科技,2017-06-29,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,601216.SH,601216.SH,君正集团,2011-01-10,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,002092.SZ,002092.SZ,中泰化学,2006-12-07,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,600618.SH,600618.SH,氯碱化工,1992-11-13,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,600319.SH,600319.SH,亚星化学,2019-07-24,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,002748.SZ,002748.SZ,世龙实业,2021-07-30,氯碱
850322.SI,220202,氯碱,220200,化学原料,220000,基础化工,601568.SH,601568.SH,北元化工,2020-09-24,氯碱
850323.SI,220203,无机盐,220200,化学原料,220000,基础化工,600714.SH,600714.SH,金瑞矿业,2009-06-01,无机盐
850323.SI,220203,无机盐,220200,化学原料,220000,基础化工,600367.SH,600367.SH,红星发展,2001-03-20,无机盐
850323.SI,220203,无机盐,220200,化学原料,220000,基础化工,603067.SH,603067.SH,振华股份,2016-09-07,无机盐
850323.SI,220203,无机盐,220200,化学原料,220000,基础化工,600929.SH,600929.SH,雪天盐业,2021-07-30,无机盐
850323.SI,220203,无机盐,220200,化学原料,220000,基础化工,003017.SZ,003017.SZ,大洋生物,2020-10-16,无机盐
850323.SI,220203,无机盐,220200,化学原料,220000,基础化工,600328.SH,600328.SH,中盐化工,2000-12-22,无机盐
850323.SI,220203,无机盐,220200,化学原料,220000,基础化工,301256.SZ,301256.SZ,华融化学,2022-03-04,无机盐
850323.SI,220203,无机盐,220200,化学原料,220000,基础化工,603663.SH,603663.SH,三祥新材,2021-07-30,无机盐
850323.SI,220203,无机盐,220200,化学原料,220000,基础化工,600784.SH,600784.SH,鲁银投资,2025-08-11,无机盐
850323.SI,220203,无机盐,220200,化学原料,220000,基础化工,603299.SH,603299.SH,苏盐井神,2021-07-30,无机盐
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,301190.SZ,301190.SZ,善水科技,2024-07-30,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,600423.SH,600423.SH,*ST柳化,2024-07-30,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,603113.SH,603113.SH,金能科技,2024-05-21,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,300082.SZ,300082.SZ,奥克股份,2021-07-30,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,600610.SH,600610.SH,中毅达,2021-07-30,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,301118.SZ,301118.SZ,恒光股份,2021-11-05,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,002648.SZ,002648.SZ,卫星化学,2022-07-29,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,603938.SH,603938.SH,三孚股份,2022-07-29,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,002109.SZ,002109.SZ,ST兴化,2021-07-30,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,300927.SZ,300927.SZ,江天化学,2020-12-23,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,000691.SZ,000691.SZ,亚太实业,2022-07-29,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,001217.SZ,001217.SZ,华尔泰,2021-09-13,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,600955.SH,600955.SH,维远股份,2021-08-27,其他化学原料
850324.SI,220204,其他化学原料,220200,化学原料,220000,基础化工,301069.SZ,301069.SZ,凯盛新材,2021-09-13,其他化学原料
850325.SI,220205,煤化工,220200,化学原料,220000,基础化工,000990.SZ,000990.SZ,诚志股份,2021-07-30,煤化工
850325.SI,220205,煤化工,220200,化学原料,220000,基础化工,600746.SH,600746.SH,江苏索普,2021-07-30,煤化工
850325.SI,220205,煤化工,220200,化学原料,220000,基础化工,600623.SH,600623.SH,华谊集团,2021-07-30,煤化工
850325.SI,220205,煤化工,220200,化学原料,220000,基础化工,600844.SH,600844.SH,金煤科技,2021-07-30,煤化工
850325.SI,220205,煤化工,220200,化学原料,220000,基础化工,600722.SH,600722.SH,金牛化工,2022-07-29,煤化工
850325.SI,220205,煤化工,220200,化学原料,220000,基础化工,600989.SH,600989.SH,宝丰能源,2021-07-30,煤化工
850325.SI,220205,煤化工,220200,化学原料,220000,基础化工,000830.SZ,000830.SZ,鲁西化工,2021-07-30,煤化工
850325.SI,220205,煤化工,220200,化学原料,220000,基础化工,002274.SZ,002274.SZ,华昌化工,2022-07-29,煤化工
850326.SI,220206,钛白粉,220200,化学原料,220000,基础化工,000545.SZ,000545.SZ,金浦钛业,2021-07-30,钛白粉
